Tournament,PlayerID,Name,FName,Club,Lineup,Position,Price
1022617,4388452,Guirassy,Serhou,BVB,expected,forward,10.5
1022617,4388453,Gross,Pascal,BVB,unexpected,midfielder,8.9
1022617,4388454,Sabitzer,Marcel,BVB,expected,midfielder,9.7
1022617,4388455,Schlotterbeck ,Nico,BVB,expected,defender,8.2
1022617,4388456,Campbell,Cole,BVB,unexpected,midfielder,8
1022617,4388457,Can ,Emre,BVB,injured,midfielder,8.2
1022617,4388458,Couto,Yan,BVB,unexpected,defender,8.7
1022617,4388459,Anton,Waldemar,BVB,expected,defender,8.3
1022617,4388460,Adeyemi,Karim,BVB,expected,midfielder,10.3
1022617,4388461,Nmecha,Felix,BVB,expected,midfielder,9.5
1022617,4388462,Silva,Fabio,BVB,unexpected,forward,9.2
1022617,4388463,Kobel,Gregor,BVB,expected,goalkeeper,9.1
1022617,4388464,Bensebaini,Ramy,BVB,expected,defender,8.8
1022617,4388465,Anselmino,Aaron,BVB,injured,defender,7.9
1022617,4388466,Chukwuemeka,Carney,BVB,unexpected,midfielder,9.4
1022617,4388467,Meyer,Alexander,BVB,unexpected,goalkeeper,9
1022617,4388468,Bellingham,Jobe,BVB,expected,midfielder,9
1022617,4388469,Ryerson,Julian,BVB,expected,defender,8.4
1022617,4388522,Robert,Robert,COP,expected,midfielder,7.6
1022617,4388523,Larsson,Jordan,COP,expected,midfielder,8.1
1022617,4388524,Runarsson,Runar Alex ,COP,unexpected,goalkeeper,6.8
1022617,4388525,Lerager,Lukas,COP,expected,midfielder,6.8
1022617,4388526,Kotarski,Dominik,COP,expected,goalkeeper,6.9
1022617,4388527,Achouri,Elias,COP,unexpected,midfielder,8
1022617,4388528,Elyounoussi,Mohamed,COP,expected,midfielder,7.8
1022617,4388529,Suzuki,Junnosuke,COP,unexpected,defender,6
1022617,4388530,Hatzidiakos,Pantelis,COP,expected,defender,6.2
1022617,4388531,Cornelius,Andreas,COP,unexpected,forward,7.1
1022617,4388532,Moukoko,Youssoufa,COP,expected,forward,7.7
1022617,4388533,Mattsson,Magnus,COP,injured,midfielder,7.2
1022617,4388534,Meling,Birger,COP,unexpected,defender,5.9
1022617,4388535,Huescas,Rodrigo,COP,injured,defender,6.5
1022617,4388536,Garananga,Munashe,COP,unexpected,defender,5.8
1022617,4388537,Clem,William,COP,unexpected,midfielder,5.9
1022617,4388538,Sarapata,Dominik,COP,unexpected,midfielder,5.8
1022617,4388539,Zague,Yoram,COP,expected,defender,6.1
1022617,4388540,Delaney,Thomas,COP,expected,midfielder,6.6
1022617,4388541,Claesson,Viktor,COP,possible,forward,7.4
1022617,4388542,Lopez,Marcos,COP,expected,defender,6.3
1022617,4388543,Pereira,Gabriel,COP,expected,defender,6.4
